2026-07-25 19:55:08,959 | INFO | knowledge_collector.crawl_progress | Current page: 1 | Pages completed: 0 | Pages remaining: 1 | Queue size: 1 | Visited pages: 0 | Current depth: 0 | Elapsed time: 00:00 | Estimated remaining time: 00:00 | Current URL: https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control/index.html
2026-07-25 19:58:11,429 | INFO | knowledge_collector.crawl_progress | Current page: 160 | Pages completed: 158 | Pages remaining: 663 | Queue size: 663 | Visited pages: 158 | Current depth: 2 | Elapsed time: 03:02 | Estimated remaining time: 12:46 | Current URL: https://owasp.org/Top10/2021/pt-BR/A03_2021-Injection
2026-07-25 19:58:12,231 | INFO | knowledge_collector.crawl_progress | Current page: 161 | Pages completed: 159 | Pages remaining: 662 | Queue size: 662 | Visited pages: 159 | Current depth: 2 | Elapsed time: 03:03 | Estimated remaining time: 12:43 | Current URL: https://owasp.org/Top10/2021/pt-BR/A04_2021-Insecure_Design
2026-07-25 19:58:13,216 | INFO | knowledge_collector.crawl_progress | Current page: 162 | Pages completed: 160 | Pages remaining: 661 | Queue size: 661 | Visited pages: 160 | Current depth: 2 | Elapsed time: 03:04 | Estimated remaining time: 12:41 | Current URL: https://owasp.org/Top10/2021/pt-BR/A05_2021-Security_Misconfiguration
2026-07-25 19:58:14,002 | INFO | knowledge_collector.crawl_progress | Current page: 163 | Pages completed: 161 | Pages remaining: 660 | Queue size: 660 | Visited pages: 161 | Current depth: 2 | Elapsed time: 03:05 | Estimated remaining time: 12:39 | Current URL: https://owasp.org/Top10/2021/pt-BR/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:58:14,771 | INFO | knowledge_collector.crawl_progress | Current page: 164 | Pages completed: 162 | Pages remaining: 659 | Queue size: 659 | Visited pages: 162 | Current depth: 2 | Elapsed time: 03:06 | Estimated remaining time: 12:36 | Current URL: https://owasp.org/Top10/2021/pt-BR/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:58:15,719 | INFO | knowledge_collector.crawl_progress | Current page: 165 | Pages completed: 163 | Pages remaining: 658 | Queue size: 658 | Visited pages: 163 | Current depth: 2 | Elapsed time: 03:07 | Estimated remaining time: 12:34 | Current URL: https://owasp.org/Top10/2021/pt-BR/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:58:17,324 | INFO | knowledge_collector.crawl_progress | Current page: 166 | Pages completed: 164 | Pages remaining: 657 | Queue size: 657 | Visited pages: 164 | Current depth: 2 | Elapsed time: 03:08 | Estimated remaining time: 12:35 | Current URL: https://owasp.org/Top10/2021/pt-BR/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:58:18,075 | INFO | knowledge_collector.crawl_progress | Current page: 167 | Pages completed: 165 | Pages remaining: 656 | Queue size: 656 | Visited pages: 165 | Current depth: 2 | Elapsed time: 03:09 | Estimated remaining time: 12:32 | Current URL: https://owasp.org/Top10/2021/pt-BR/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:58:18,811 | INFO | knowledge_collector.crawl_progress | Current page: 168 | Pages completed: 166 | Pages remaining: 656 | Queue size: 656 | Visited pages: 166 | Current depth: 2 | Elapsed time: 03:10 | Estimated remaining time: 12:30 | Current URL: https://owasp.org/Top10/2021/pt-BR/A11_2021-Next_Steps
2026-07-25 19:58:19,760 | INFO | knowledge_collector.crawl_progress | Current page: 169 | Pages completed: 167 | Pages remaining: 655 | Queue size: 655 | Visited pages: 167 | Current depth: 2 | Elapsed time: 03:11 | Estimated remaining time: 12:28 | Current URL: https://owasp.org/Top10/2021/tr/A00_2021_Introduction
2026-07-25 19:58:20,677 | INFO | knowledge_collector.crawl_progress | Current page: 170 | Pages completed: 168 | Pages remaining: 654 | Queue size: 654 | Visited pages: 168 | Current depth: 2 | Elapsed time: 03:12 | Estimated remaining time: 12:26 | Current URL: https://owasp.org/Top10/2021/tr/0x00_2021-notice
2026-07-25 19:58:21,907 | INFO | knowledge_collector.crawl_progress | Current page: 171 | Pages completed: 169 | Pages remaining: 653 | Queue size: 653 | Visited pages: 169 | Current depth: 2 | Elapsed time: 03:13 | Estimated remaining time: 12:26 | Current URL: https://owasp.org/Top10/2021/tr/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:58:22,716 | INFO | knowledge_collector.crawl_progress | Current page: 172 | Pages completed: 170 | Pages remaining: 652 | Queue size: 652 | Visited pages: 170 | Current depth: 2 | Elapsed time: 03:14 | Estimated remaining time: 12:23 | Current URL: https://owasp.org/Top10/2021/tr/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:58:23,526 | INFO | knowledge_collector.crawl_progress | Current page: 173 | Pages completed: 171 | Pages remaining: 651 | Queue size: 651 | Visited pages: 171 | Current depth: 2 | Elapsed time: 03:15 | Estimated remaining time: 12:21 | Current URL: https://owasp.org/Top10/2021/tr/0x01_2021-about-owasp
2026-07-25 19:58:24,236 | INFO | knowledge_collector.crawl_progress | Current page: 174 | Pages completed: 172 | Pages remaining: 650 | Queue size: 650 | Visited pages: 172 | Current depth: 2 | Elapsed time: 03:15 | Estimated remaining time: 12:18 | Current URL: https://owasp.org/Top10/2021/tr/A02_2021-Cryptographic_Failures
2026-07-25 19:58:26,364 | INFO | knowledge_collector.crawl_progress | Current page: 175 | Pages completed: 173 | Pages remaining: 649 | Queue size: 649 | Visited pages: 173 | Current depth: 2 | Elapsed time: 03:17 | Estimated remaining time: 12:21 | Current URL: https://owasp.org/Top10/2021/tr/A03_2021-Injection
2026-07-25 19:58:27,524 | INFO | knowledge_collector.crawl_progress | Current page: 176 | Pages completed: 174 | Pages remaining: 648 | Queue size: 648 | Visited pages: 174 | Current depth: 2 | Elapsed time: 03:19 | Estimated remaining time: 12:20 | Current URL: https://owasp.org/Top10/2021/tr/A04_2021-Insecure_Design
2026-07-25 19:58:28,470 | INFO | knowledge_collector.crawl_progress | Current page: 177 | Pages completed: 175 | Pages remaining: 647 | Queue size: 647 | Visited pages: 175 | Current depth: 2 | Elapsed time: 03:20 | Estimated remaining time: 12:18 | Current URL: https://owasp.org/Top10/2021/tr/A05_2021-Security_Misconfiguration
2026-07-25 19:58:29,261 | INFO | knowledge_collector.crawl_progress | Current page: 178 | Pages completed: 176 | Pages remaining: 646 | Queue size: 646 | Visited pages: 176 | Current depth: 2 | Elapsed time: 03:20 | Estimated remaining time: 12:15 | Current URL: https://owasp.org/Top10/2021/tr/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:58:30,405 | INFO | knowledge_collector.crawl_progress | Current page: 179 | Pages completed: 177 | Pages remaining: 645 | Queue size: 645 | Visited pages: 177 | Current depth: 2 | Elapsed time: 03:21 | Estimated remaining time: 12:14 | Current URL: https://owasp.org/Top10/2021/tr/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:58:31,254 | INFO | knowledge_collector.crawl_progress | Current page: 180 | Pages completed: 178 | Pages remaining: 644 | Queue size: 644 | Visited pages: 178 | Current depth: 2 | Elapsed time: 03:22 | Estimated remaining time: 12:12 | Current URL: https://owasp.org/Top10/2021/tr/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:58:32,294 | INFO | knowledge_collector.crawl_progress | Current page: 181 | Pages completed: 179 | Pages remaining: 643 | Queue size: 643 | Visited pages: 179 | Current depth: 2 | Elapsed time: 03:23 | Estimated remaining time: 12:10 | Current URL: https://owasp.org/Top10/2021/tr/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:58:33,043 | INFO | knowledge_collector.crawl_progress | Current page: 182 | Pages completed: 180 | Pages remaining: 642 | Queue size: 642 | Visited pages: 180 | Current depth: 2 | Elapsed time: 03:24 | Estimated remaining time: 12:08 | Current URL: https://owasp.org/Top10/2021/tr/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:58:33,919 | INFO | knowledge_collector.crawl_progress | Current page: 183 | Pages completed: 181 | Pages remaining: 642 | Queue size: 642 | Visited pages: 181 | Current depth: 2 | Elapsed time: 03:25 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/tr/A11_2021-Next_Steps
2026-07-25 19:58:35,056 | INFO | knowledge_collector.crawl_progress | Current page: 184 | Pages completed: 182 | Pages remaining: 641 | Queue size: 641 | Visited pages: 182 | Current depth: 2 | Elapsed time: 03:26 | Estimated remaining time: 12:06 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A00_2021_Introduction
2026-07-25 19:58:37,864 | INFO | knowledge_collector.crawl_progress | Current page: 185 | Pages completed: 183 | Pages remaining: 640 | Queue size: 640 | Visited pages: 183 | Current depth: 2 | Elapsed time: 03:29 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/zh-Hant/0x00_2021-notice
2026-07-25 19:58:38,877 | INFO | knowledge_collector.crawl_progress | Current page: 186 | Pages completed: 184 | Pages remaining: 639 | Queue size: 639 | Visited pages: 184 | Current depth: 2 | Elapsed time: 03:30 | Estimated remaining time: 12:09 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:58:39,665 | INFO | knowledge_collector.crawl_progress | Current page: 187 | Pages completed: 185 | Pages remaining: 638 | Queue size: 638 | Visited pages: 185 | Current depth: 2 | Elapsed time: 03:31 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:58:42,720 | INFO | knowledge_collector.crawl_progress | Current page: 188 | Pages completed: 186 | Pages remaining: 637 | Queue size: 637 | Visited pages: 186 | Current depth: 2 | Elapsed time: 03:34 | Estimated remaining time: 12:12 | Current URL: https://owasp.org/Top10/2021/zh-Hant/0x01_2021-about-owasp
2026-07-25 19:58:43,817 | INFO | knowledge_collector.crawl_progress | Current page: 189 | Pages completed: 187 | Pages remaining: 636 | Queue size: 636 | Visited pages: 187 | Current depth: 2 | Elapsed time: 03:35 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A02_2021-Cryptographic_Failures
2026-07-25 19:58:45,381 | INFO | knowledge_collector.crawl_progress | Current page: 190 | Pages completed: 188 | Pages remaining: 635 | Queue size: 635 | Visited pages: 188 | Current depth: 2 | Elapsed time: 03:36 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A03_2021-Injection
2026-07-25 19:58:46,459 | INFO | knowledge_collector.crawl_progress | Current page: 191 | Pages completed: 189 | Pages remaining: 634 | Queue size: 634 | Visited pages: 189 | Current depth: 2 | Elapsed time: 03:38 | Estimated remaining time: 12:10 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A04_2021-Insecure_Design
2026-07-25 19:58:48,131 | INFO | knowledge_collector.crawl_progress | Current page: 192 | Pages completed: 190 | Pages remaining: 633 | Queue size: 633 | Visited pages: 190 | Current depth: 2 | Elapsed time: 03:39 | Estimated remaining time: 12:10 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A05_2021-Security_Misconfiguration
2026-07-25 19:58:49,741 | INFO | knowledge_collector.crawl_progress | Current page: 193 | Pages completed: 191 | Pages remaining: 632 | Queue size: 632 | Visited pages: 191 | Current depth: 2 | Elapsed time: 03:41 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:58:50,453 | INFO | knowledge_collector.crawl_progress | Current page: 194 | Pages completed: 192 | Pages remaining: 631 | Queue size: 631 | Visited pages: 192 | Current depth: 2 | Elapsed time: 03:42 | Estimated remaining time: 12:08 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:58:52,009 | INFO | knowledge_collector.crawl_progress | Current page: 195 | Pages completed: 193 | Pages remaining: 630 | Queue size: 630 | Visited pages: 193 | Current depth: 2 | Elapsed time: 03:43 | Estimated remaining time: 12:08 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:58:53,058 | INFO | knowledge_collector.crawl_progress | Current page: 196 | Pages completed: 194 | Pages remaining: 629 | Queue size: 629 | Visited pages: 194 | Current depth: 2 | Elapsed time: 03:44 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:58:54,632 | INFO | knowledge_collector.crawl_progress | Current page: 197 | Pages completed: 195 | Pages remaining: 628 | Queue size: 628 | Visited pages: 195 | Current depth: 2 | Elapsed time: 03:46 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:58:55,684 | INFO | knowledge_collector.crawl_progress | Current page: 198 | Pages completed: 196 | Pages remaining: 628 | Queue size: 628 | Visited pages: 196 | Current depth: 2 | Elapsed time: 03:47 | Estimated remaining time: 12:06 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A11_2021-Next_Steps
2026-07-25 19:58:56,822 | INFO | knowledge_collector.crawl_progress | Current page: 199 | Pages completed: 197 | Pages remaining: 627 | Queue size: 627 | Visited pages: 197 | Current depth: 2 | Elapsed time: 03:48 | Estimated remaining time: 12:05 | Current URL: https://owasp.org/Top10/2021/zh-TW/A00_2021_Introduction
2026-07-25 19:58:57,954 | INFO | knowledge_collector.crawl_progress | Current page: 200 | Pages completed: 198 | Pages remaining: 626 | Queue size: 626 | Visited pages: 198 | Current depth: 2 | Elapsed time: 03:49 | Estimated remaining time: 12:04 | Current URL: https://owasp.org/Top10/2021/zh-TW/0x00_2021-notice
2026-07-25 19:58:59,610 | INFO | knowledge_collector.crawl_progress | Current page: 201 | Pages completed: 199 | Pages remaining: 625 | Queue size: 625 | Visited pages: 199 | Current depth: 2 | Elapsed time: 03:51 | Estimated remaining time: 12:04 | Current URL: https://owasp.org/Top10/2021/zh-TW/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:59:00,284 | INFO | knowledge_collector.crawl_progress | Current page: 202 | Pages completed: 200 | Pages remaining: 624 | Queue size: 624 | Visited pages: 200 | Current depth: 2 | Elapsed time: 03:51 | Estimated remaining time: 12:02 | Current URL: https://owasp.org/Top10/2021/zh-TW/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:59:01,397 | INFO | knowledge_collector.crawl_progress | Current page: 203 | Pages completed: 201 | Pages remaining: 623 | Queue size: 623 | Visited pages: 201 | Current depth: 2 | Elapsed time: 03:52 | Estimated remaining time: 12:00 | Current URL: https://owasp.org/Top10/2021/zh-TW/0x01_2021-about-owasp
2026-07-25 19:59:02,083 | INFO | knowledge_collector.crawl_progress | Current page: 204 | Pages completed: 202 | Pages remaining: 622 | Queue size: 622 | Visited pages: 202 | Current depth: 2 | Elapsed time: 03:53 | Estimated remaining time: 11:58 | Current URL: https://owasp.org/Top10/2021/zh-TW/A02_2021-Cryptographic_Failures
2026-07-25 19:59:02,909 | INFO | knowledge_collector.crawl_progress | Current page: 205 | Pages completed: 203 | Pages remaining: 621 | Queue size: 621 | Visited pages: 203 | Current depth: 2 | Elapsed time: 03:54 | Estimated remaining time: 11:56 | Current URL: https://owasp.org/Top10/2021/zh-TW/A03_2021-Injection
2026-07-25 19:59:03,691 | INFO | knowledge_collector.crawl_progress | Current page: 206 | Pages completed: 204 | Pages remaining: 620 | Queue size: 620 | Visited pages: 204 | Current depth: 2 | Elapsed time: 03:55 | Estimated remaining time: 11:53 | Current URL: https://owasp.org/Top10/2021/zh-TW/A04_2021-Insecure_Design
2026-07-25 19:59:04,435 | INFO | knowledge_collector.crawl_progress | Current page: 207 | Pages completed: 205 | Pages remaining: 619 | Queue size: 619 | Visited pages: 205 | Current depth: 2 | Elapsed time: 03:55 | Estimated remaining time: 11:51 | Current URL: https://owasp.org/Top10/2021/zh-TW/A05_2021-Security_Misconfiguration
2026-07-25 19:59:05,837 | INFO | knowledge_collector.crawl_progress | Current page: 208 | Pages completed: 206 | Pages remaining: 618 | Queue size: 618 | Visited pages: 206 | Current depth: 2 | Elapsed time: 03:57 | Estimated remaining time: 11:51 | Current URL: https://owasp.org/Top10/2021/zh-TW/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:59:06,589 | INFO | knowledge_collector.crawl_progress | Current page: 209 | Pages completed: 207 | Pages remaining: 617 | Queue size: 617 | Visited pages: 207 | Current depth: 2 | Elapsed time: 03:58 | Estimated remaining time: 11:48 | Current URL: https://owasp.org/Top10/2021/zh-TW/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:59:07,825 | INFO | knowledge_collector.crawl_progress | Current page: 210 | Pages completed: 208 | Pages remaining: 616 | Queue size: 616 | Visited pages: 208 | Current depth: 2 | Elapsed time: 03:59 | Estimated remaining time: 11:47 | Current URL: https://owasp.org/Top10/2021/zh-TW/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:59:08,744 | INFO | knowledge_collector.crawl_progress | Current page: 211 | Pages completed: 209 | Pages remaining: 615 | Queue size: 615 | Visited pages: 209 | Current depth: 2 | Elapsed time: 04:00 | Estimated remaining time: 11:46 | Current URL: https://owasp.org/Top10/2021/zh-TW/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:59:09,593 | INFO | knowledge_collector.crawl_progress | Current page: 212 | Pages completed: 210 | Pages remaining: 614 | Queue size: 614 | Visited pages: 210 | Current depth: 2 | Elapsed time: 04:01 | Estimated remaining time: 11:44 | Current URL: https://owasp.org/Top10/2021/zh-TW/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:59:10,338 | INFO | knowledge_collector.crawl_progress | Current page: 213 | Pages completed: 211 | Pages remaining: 614 | Queue size: 614 | Visited pages: 211 | Current depth: 2 | Elapsed time: 04:01 | Estimated remaining time: 11:42 | Current URL: https://owasp.org/Top10/2021/zh-TW/A11_2021-Next_Steps
2026-07-25 19:59:11,091 | INFO | knowledge_collector.crawl_progress | Current page: 214 | Pages completed: 212 | Pages remaining: 613 | Queue size: 613 | Visited pages: 212 | Current depth: 2 | Elapsed time: 04:02 | Estimated remaining time: 11:40 | Current URL: https://owasp.org/cdn-cgi/l/email-protection
2026-07-25 19:59:11,159 | INFO | knowledge_collector.crawl_progress | Current page: 215 | Pages completed: 212 | Pages remaining: 612 | Queue size: 612 | Visited pages: 212 | Current depth: 2 | Elapsed time: 04:02 | Estimated remaining time: 11:39 | Current URL: https://cheatsheetseries.owasp.org/
2026-07-25 19:59:11,673 | INFO | knowledge_collector.crawl_progress | Current page: 216 | Pages completed: 213 | Pages remaining: 613 | Queue size: 613 | Visited pages: 213 | Current depth: 2 | Elapsed time: 04:03 | Estimated remaining time: 11:39 | Current URL: https://owasp.org/chapters
2026-07-25 20:00:02,263 | INFO | knowledge_collector.crawl_progress | Current page: 217 | Pages completed: 214 | Pages remaining: 943 | Queue size: 943 | Visited pages: 214 | Current depth: 2 | Elapsed time: 04:53 | Estimated remaining time: 21:33 | Current URL: https://owasp.org/events
2026-07-25 20:00:03,245 | INFO | knowledge_collector.crawl_progress | Current page: 218 | Pages completed: 215 | Pages remaining: 944 | Queue size: 944 | Visited pages: 215 | Current depth: 2 | Elapsed time: 04:54 | Estimated remaining time: 21:32 | Current URL: https://owasp.org/
2026-07-25 20:00:03,712 | INFO | knowledge_collector.crawl_progress | Current page: 219 | Pages completed: 216 | Pages remaining: 949 | Queue size: 949 | Visited pages: 216 | Current depth: 2 | Elapsed time: 04:55 | Estimated remaining time: 21:35 | Current URL: https://owasp.org/www-project-proactive-controls/v3/en/c8-protect-data-everywhere
2026-07-25 20:00:05,089 | INFO | knowledge_collector.crawl_progress | Current page: 220 | Pages completed: 217 | Pages remaining: 954 | Queue size: 954 | Visited pages: 217 | Current depth: 2 | Elapsed time: 04:56 | Estimated remaining time: 21:42 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Transport_Layer_Protection_Cheat_Sheet.html
2026-07-25 20:00:05,577 | INFO | knowledge_collector.crawl_progress | Current page: 221 | Pages completed: 218 | Pages remaining: 953 | Queue size: 953 | Visited pages: 218 | Current depth: 2 | Elapsed time: 04:57 | Estimated remaining time: 21:37 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/User_Privacy_Protection_Cheat_Sheet.html
2026-07-25 20:00:06,159 | INFO | knowledge_collector.crawl_progress | Current page: 222 | Pages completed: 219 | Pages remaining: 954 | Queue size: 954 | Visited pages: 219 | Current depth: 2 | Elapsed time: 04:57 | Estimated remaining time: 21:35 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Password_Storage_Cheat_Sheet.html
2026-07-25 20:00:06,861 | INFO | knowledge_collector.crawl_progress | Current page: 223 | Pages completed: 220 | Pages remaining: 953 | Queue size: 953 | Visited pages: 220 | Current depth: 2 | Elapsed time: 04:58 | Estimated remaining time: 21:31 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Cryptographic_Storage_Cheat_Sheet.html
2026-07-25 20:00:07,698 | INFO | knowledge_collector.crawl_progress | Current page: 224 | Pages completed: 221 | Pages remaining: 952 | Queue size: 952 | Visited pages: 221 | Current depth: 2 | Elapsed time: 04:59 | Estimated remaining time: 21:27 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html
2026-07-26 18:05:58,388 | INFO | knowledge_collector.crawl_progress | Current page: 1 | Pages completed: 0 | Pages remaining: 1 | Queue size: 1 | Visited pages: 0 | Current depth: 0 | Elapsed time: 00:00 | Estimated remaining time: 00:00 | Current URL: https://cheatsheetseries.owasp.org/
2026-07-26 18:06:00,770 | INFO | knowledge_collector.crawl_progress | Current page: 2 | Pages completed: 1 | Pages remaining: 127 | Queue size: 127 | Visited pages: 1 | Current depth: 1 | Elapsed time: 00:02 | Estimated remaining time: 05:04 | Current URL: https://cheatsheetseries.owasp.org/index.html
2026-07-26 18:06:01,270 | INFO | knowledge_collector.crawl_progress | Current page: 3 | Pages completed: 2 | Pages remaining: 126 | Queue size: 126 | Visited pages: 2 | Current depth: 1 | Elapsed time: 00:03 | Estimated remaining time: 03:02 | Current URL: https://cheatsheetseries.owasp.org/Glossary.html
2026-07-26 18:06:02,033 | INFO | knowledge_collector.crawl_progress | Current page: 4 | Pages completed: 3 | Pages remaining: 125 | Queue size: 125 | Visited pages: 3 | Current depth: 1 | Elapsed time: 00:04 | Estimated remaining time: 02:32 | Current URL: https://cheatsheetseries.owasp.org/IndexASVS.html
2026-07-26 18:06:03,095 | INFO | knowledge_collector.crawl_progress | Current page: 5 | Pages completed: 4 | Pages remaining: 124 | Queue size: 124 | Visited pages: 4 | Current depth: 1 | Elapsed time: 00:05 | Estimated remaining time: 02:26 | Current URL: https://cheatsheetseries.owasp.org/IndexMASVS.html
2026-07-26 18:06:03,794 | INFO | knowledge_collector.crawl_progress | Current page: 6 | Pages completed: 5 | Pages remaining: 123 | Queue size: 123 | Visited pages: 5 | Current depth: 1 | Elapsed time: 00:05 | Estimated remaining time: 02:13 | Current URL: https://cheatsheetseries.owasp.org/IndexProactiveControls.html
2026-07-26 18:06:04,400 | INFO | knowledge_collector.crawl_progress | Current page: 7 | Pages completed: 6 | Pages remaining: 122 | Queue size: 122 | Visited pages: 6 | Current depth: 1 | Elapsed time: 00:06 | Estimated remaining time: 02:03 | Current URL: https://cheatsheetseries.owasp.org/IndexTopTen.html
2026-07-26 18:06:04,949 | INFO | knowledge_collector.crawl_progress | Current page: 8 | Pages completed: 7 | Pages remaining: 121 | Queue size: 121 | Visited pages: 7 | Current depth: 1 | Elapsed time: 00:07 | Estimated remaining time: 01:54 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html
2026-07-26 18:06:06,560 | INFO | knowledge_collector.crawl_progress | Current page: 9 | Pages completed: 8 | Pages remaining: 120 | Queue size: 120 | Visited pages: 8 | Current depth: 1 | Elapsed time: 00:08 | Estimated remaining time: 02:03 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/AJAX_Security_Cheat_Sheet.html
2026-07-26 18:06:07,304 | INFO | knowledge_collector.crawl_progress | Current page: 10 | Pages completed: 9 | Pages remaining: 119 | Queue size: 119 | Visited pages: 9 | Current depth: 1 | Elapsed time: 00:09 | Estimated remaining time: 01:58 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/AML_Sanctions_AI_Agent_Payments_Cheat_Sheet.html
2026-07-26 18:06:08,164 | INFO | knowledge_collector.crawl_progress | Current page: 11 | Pages completed: 10 | Pages remaining: 118 | Queue size: 118 | Visited pages: 10 | Current depth: 1 | Elapsed time: 00:10 | Estimated remaining time: 01:56 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Abuse_Case_Cheat_Sheet.html
2026-07-26 18:06:08,983 | INFO | knowledge_collector.crawl_progress | Current page: 12 | Pages completed: 11 | Pages remaining: 117 | Queue size: 117 | Visited pages: 11 | Current depth: 1 | Elapsed time: 00:11 | Estimated remaining time: 01:53 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Access_Control_Cheat_Sheet.html
2026-07-26 18:06:09,380 | INFO | knowledge_collector.crawl_progress | Current page: 13 | Pages completed: 11 | Pages remaining: 116 | Queue size: 116 | Visited pages: 11 | Current depth: 1 | Elapsed time: 00:11 | Estimated remaining time: 01:56 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Attack_Surface_Analysis_Cheat_Sheet.html
2026-07-26 18:06:09,882 | INFO | knowledge_collector.crawl_progress | Current page: 14 | Pages completed: 12 | Pages remaining: 116 | Queue size: 116 | Visited pages: 12 | Current depth: 1 | Elapsed time: 00:12 | Estimated remaining time: 01:51 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html
2026-07-26 18:06:10,270 | INFO | knowledge_collector.crawl_progress | Current page: 15 | Pages completed: 12 | Pages remaining: 115 | Queue size: 115 | Visited pages: 12 | Current depth: 1 | Elapsed time: 00:12 | Estimated remaining time: 01:54 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html
2026-07-26 18:06:10,808 | INFO | knowledge_collector.crawl_progress | Current page: 16 | Pages completed: 13 | Pages remaining: 115 | Queue size: 115 | Visited pages: 13 | Current depth: 1 | Elapsed time: 00:12 | Estimated remaining time: 01:50 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Regression_Testing_Cheat_Sheet.html
2026-07-26 18:06:11,226 | INFO | knowledge_collector.crawl_progress | Current page: 17 | Pages completed: 14 | Pages remaining: 114 | Queue size: 114 | Visited pages: 14 | Current depth: 1 | Elapsed time: 00:13 | Estimated remaining time: 01:45 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Testing_Automation_Cheat_Sheet.html
2026-07-26 18:06:11,902 | INFO | knowledge_collector.crawl_progress | Current page: 18 | Pages completed: 15 | Pages remaining: 113 | Queue size: 113 | Visited pages: 15 | Current depth: 1 | Elapsed time: 00:14 | Estimated remaining time: 01:42 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Automotive_Security_Cheat_Sheet.html
2026-07-26 18:06:12,644 | INFO | knowledge_collector.crawl_progress | Current page: 19 | Pages completed: 16 | Pages remaining: 112 | Queue size: 112 | Visited pages: 16 | Current depth: 1 | Elapsed time: 00:14 | Estimated remaining time: 01:40 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Bean_Validation_Cheat_Sheet.html
